Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Group stage,2026-06-21,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia,4.0,0.0,67,22,8,1,0,0,10,6,25,16,Home,Win
Group stage,2026-06-21,"SoFi Stadium, Inglewood",Belgium,IR Iran,0.0,0.0,70,23,7,3,1,1,7,4,32,3,Home,Draw
Group stage,2026-06-21,"Hard Rock Stadium, Miami Gardens",Uruguay,Cabo Verde,2.0,2.0,65,17,2,2,2,0,11,11,29,8,Home,Draw
Group stage,2026-06-21,"BC Place Stadium, Vancouver",New Zealand,Egypt,1.0,3.0,44,11,5,4,2,0,14,4,15,5,Home,Loss
Group stage,2026-06-22,"AT&T Stadium, Arlington",Argentina,Austria,2.0,0.0,54,12,5,1,2,0,13,1,4,8,Home,Win
Group stage,2026-06-22,"Lincoln Financial Field, Philadelphia",France,Iraq,3.0,0.0,56,19,5,0,0,0,8,4,14,5,Home,Win
Group stage,2026-06-22,"MetLife Stadium, East Rutherford",Norway,Senegal,3.0,2.0,42,13,7,2,0,0,13,5,10,8,Home,Win
Group stage,2026-06-22,"Levi's Stadium, Santa Clara",Jordan,Algeria,1.0,2.0,28,8,4,6,1,0,11,1,5,2,Home,Loss
Group stage,2026-06-23,"Reliant Stadium, Houston",Portugal,Uzbekistan,5.0,0.0,66,17,9,2,1,0,14,3,22,5,Home,Win
Group stage,2026-06-23,"Gillette Stadium, Foxborough",England,Ghana,0.0,0.0,79,19,3,0,1,0,14,9,30,1,Home,Draw
Group stage,2026-06-23,"BMO Field, Toronto",Panama,Croatia,0.0,1.0,42,8,1,1,1,0,19,7,29,4,Home,Loss
Group stage,2026-06-23,"Estadio Akron, Zapopan",Colombia,Congo DR,1.0,0.0,64,20,9,1,2,0,12,5,12,10,Home,Win
Group stage,2026-06-24,"BC Place Stadium, Vancouver",Switzerland,Canada,2.0,1.0,55,6,4,6,1,0,19,2,6,5,Home,Win
Group stage,2026-06-24,"Lumen Field, Seattle",Bosnia–Herz,Qatar,3.0,1.0,55,14,5,2,1,0,9,5,22,4,Home,Win
Group stage,2026-06-24,"Hard Rock Stadium, Miami Gardens",Scotland,Brazil,0.0,3.0,46,14,5,5,1,0,10,7,23,2,Home,Loss
Group stage,2026-06-24,"Mercedes-Benz Stadium, Atlanta",Morocco,Haiti,4.0,2.0,69,22,11,1,0,0,10,9,22,7,Home,Win
Group stage,2026-06-24,"Estadio BBVA, Guadalupe",South Africa,Korea Republic,1.0,0.0,32,13,4,2,1,0,7,4,8,15,Home,Win
Group stage,2026-06-24,"Estadio Banorte, Coyoacán",Czechia,Mexico,0.0,3.0,52,13,1,2,0,0,9,5,26,3,Home,Loss
Group stage,2026-06-25,"Lincoln Financial Field, Philadelphia",Curaçao,Côte d'Ivoire,0.0,2.0,37,11,2,1,2,0,11,4,15,15,Home,Loss
Group stage,2026-06-25,"MetLife Stadium, East Rutherford",Ecuador,Germany,2.0,1.0,39,7,3,2,3,0,15,3,12,12,Home,Win
Group stage,2026-06-25,"GEHA Field at Arrowhead Stadium, Kansas City",Tunisia,Netherlands,1.0,3.0,29,10,4,4,0,0,11,4,13,8,Home,Loss
Group stage,2026-06-25,"AT&T Stadium, Arlington",Japan,Sweden,1.0,1.0,52,8,3,4,1,0,20,2,13,4,Home,Draw
