Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Round of 32,2026-07-02,"SoFi Stadium, Inglewood",Austria,Spain,0.0,3.0,36,5,0,6,1,0,15,0,13,7,Away,Loss
Round of 32,2026-07-02,"BMO Field, Toronto",Croatia,Portugal,1.0,2.0,40,13,6,2,2,0,12,5,22,9,Away,Loss
Round of 32,2026-07-02,"BC Place Stadium, Vancouver",Algeria,Switzerland,0.0,2.0,55,8,2,2,2,0,12,2,6,9,Away,Loss
Round of 32,2026-07-03,"AT&T Stadium, Arlington",Egypt,Australia,,,58,14,3,1,2,0,14,7,24,8,Away,Draw
Round of 32,2026-07-03,"Hard Rock Stadium, Miami Gardens",Cabo Verde,Argentina,2.0,3.0,37,16,5,8,1,0,12,8,21,10,Away,Loss
Round of 32,2026-07-03,"GEHA Field at Arrowhead Stadium, Kansas City",Ghana,Colombia,0.0,1.0,39,8,0,7,3,0,10,2,15,5,Away,Loss
Round of 16,2026-07-04,"Reliant Stadium, Houston",Morocco,Canada,3.0,0.0,55,5,4,3,4,0,14,1,5,8,Away,Win
Round of 16,2026-07-04,"Lincoln Financial Field, Philadelphia",France,Paraguay,1.0,0.0,76,15,5,0,3,0,11,12,23,10,Away,Win
Round of 16,2026-07-05,"MetLife Stadium, East Rutherford",Norway,Brazil,2.0,1.0,66,9,5,3,0,0,6,5,13,6,Away,Win
Round of 16,2026-07-05,"Estadio Banorte, Coyoacán",England,Mexico,3.0,2.0,33,6,5,3,4,1,7,2,4,4,Away,Win
Round of 16,2026-07-06,"AT&T Stadium, Arlington",Spain,Portugal,1.0,0.0,56,15,6,2,1,0,13,7,16,5,Away,Win
Round of 16,2026-07-06,"Lumen Field, Seattle",Belgium,United States,4.0,1.0,44,15,7,1,0,0,9,5,14,9,Away,Win
Round of 16,2026-07-07,"Mercedes-Benz Stadium, Atlanta",Egypt,Argentina,2.0,3.0,36,5,2,3,5,0,11,1,8,10,Away,Loss
Round of 16,2026-07-07,"BC Place Stadium, Vancouver",Colombia,Switzerland,,,47,15,3,2,2,0,21,7,18,12,Away,Draw
Quarter-finals,2026-07-09,"Gillette Stadium, Foxborough",Morocco,France,0.0,2.0,52,5,1,5,1,0,13,5,13,6,Away,Loss
Quarter-finals,2026-07-10,"SoFi Stadium, Inglewood",Belgium,Spain,1.0,2.0,32,5,2,6,2,0,18,1,10,10,Away,Loss
Quarter-finals,2026-07-11,"Hard Rock Stadium, Miami Gardens",England,Norway,2.0,1.0,52,14,8,3,0,0,8,4,21,7,Away,Win
Quarter-finals,2026-07-11,"GEHA Field at Arrowhead Stadium, Kansas City",Switzerland,Argentina,1.0,3.0,41,11,5,4,2,1,18,2,19,6,Away,Loss
